순번,성별,생년,국적명,체류자격,학교명
317,남,1991,중국,대학부설 어학원 연수,용인송담대학
318,남,1991,중국,대학부설 어학원 연수,고려대학교
319,여,1950,카자흐스탄,대학부설 어학원 연수,공주대학교
320,남,1950,인도,대학부설 어학원 연수,전남대학교
321,여,1991,중국,학사과정,한신대학교
322,여,1991,중국,학사과정,건국대학교
323,여,1991,중국,학사과정,가천대학교
324,여,1990,중국,학사과정,건국대학교
325,여,1990,중국,대학부설 어학원 연수,구미대학교
326,남,1991,중국,학사과정,국립부경대학교
327,여,1991,일본,대학부설 어학원 연수,(학)연세대학교
328,남,1991,중국,대학부설 어학원 연수,(학)연세대학교
329,여,1992,뉴질랜드,대학부설 어학원 연수,성균관대학교
330,여,1992,중국,대학부설 어학원 연수,(학)연세대학교
331,여,1992,중국,대학부설 어학원 연수,(학)연세대학교
332,여,1990,인도,교환학생,전남대학교
333,여,1990,중국,대학부설 어학원 연수,광주대학교
334,남,1991,중국,대학부설 어학원 연수,대림대학
335,여,1991,중국,학사과정,고려대학교
336,여,1991,몽골,학사과정,국민대학교
337,여,1991,카자흐스탄,대학부설 어학원 연수,신라대학교
338,여,1991,중국,학사과정,광운대학교
339,여,1992,중국,대학부설 어학원 연수,신라대학교
340,여,1992,일본,교환학생,부산대학교
341,남,1991,몽골,대학부설 어학원 연수,경인여자대학
342,남,1991,중국,학사과정,계명대학교
343,남,1991,중국,학사과정,전남대학교
344,여,1991,중국,교환학생,부산외국어대학교
345,여,1991,필리핀,석사과정,가톨릭대학교(성심교정)
346,남,1991,스웨덴,교환학생,인제대학교
347,남,1991,중국,학사과정,신라대학교
348,여,1992,러시아(연방),교환학생,강원대학교
349,여,1992,중국,학사과정,한국교원대학교
350,남,1991,에콰도르,학사과정,전북대학교
351,남,1991,중국,대학부설 어학원 연수,전북과학대학교
352,여,1991,중국,교환학생,국민대학교
353,남,1991,베트남,전문학사과정,대림대학
354,남,1991,베트남,학사과정,위덕대학교
355,여,1991,중국,대학부설 어학원 연수,선문대학교
356,여,1991,중국,대학부설 어학원 연수,연세대학교언어연구교육원
357,남,1991,중국,학사과정,동국대학교
358,남,1991,중국,학사과정,경희대학교국제캠퍼스
359,남,1991,스웨덴,교환학생,고려대학교
360,남,1991,중국,학사과정,상명대학교
361,여,1991,중국,대학부설 어학원 연수,경기대학교
362,여,1991,중국,학사과정,한국국제대학교
363,여,1990,중국,학사과정,서울대학교
364,여,1991,브라질,대학부설 어학원 연수,(학)연세대학교
365,남,1991,중국,학사과정,우송대학교
366,남,1991,중국,학사과정,배재대학교
367,남,1991,중국,대학부설 어학원 연수,조선대학교
368,남,1991,베트남,대학부설 어학원 연수,경남과학기술대학교
369,남,1991,중국,학사과정,국민대학교
370,여,1991,중국,교환학생,광주대학교
371,여,1991,러시아(연방),교환학생,건국대학교
372,여,1991,중국,학사과정,청운대학교 인천캠퍼스
373,남,1991,오스트레일리아,대학부설 어학원 연수,서울대학교
374,남,1991,중국,학사과정,영산대학교
375,남,1991,중국,학사과정,영산대학교
376,남,1991,중국,학사과정,영산대학교
377,남,1991,중국,학사과정,고려대학교
378,여,1991,말레이시아,학사과정,한양대학교
379,여,1991,중국,교환학생,
380,여,1991,중국,대학부설 어학원 연수,김천과학대학
381,남,1991,중국,학사과정,동서대학교
382,남,1991,중국,학사과정,경성대학교
383,남,1991,중국,대학부설 어학원 연수,안동대학교
384,남,1991,중국,학사과정,안동대학교
385,남,1991,브라질,교환학생,서울대학교
386,남,1991,베트남,학사과정,(학)연세대학교
387,남,1991,중국,학사과정,한양대학교
388,남,1991,중국,전문학사과정,부산과학기술대학교
389,여,1990,중국,학사과정,목포대학교
390,여,1991,중국,학사과정,신라대학교
391,남,1991,중국,대학부설 어학원 연수,가야대학교
392,남,1991,중국,학사과정,상명대학교
393,여,1991,타이완,교환학생,고려대학교
394,여,1991,중국,학사과정,단국대학교
395,남,1992,중국,대학부설 어학원 연수,중앙대학교
396,여,1992,중국,학사과정,대구가톨릭대학교
397,여,1992,중국,학사과정,대구가톨릭대학교
398,남,1991,중국,학사과정,우송대학교
399,여,1991,중국,학사과정,충북대학교
