"국적","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"인도","여(F)","5","5","44","90","0","0","0","12"
"인도네시아","남(M)","0","58","199","83","3","21","0","24"
"인도네시아","여(F)","3","140","132","30","0","31","0","58"
"일본","남(M)","13","136","49","37","7","89","1","140"
"일본","여(F)","41","399","135","23","8","439","0","817"
"자메이카","남(M)","0","0","0","0","0","0","0","0"
"자메이카","여(F)","0","0","2","1","0","0","0","0"
"잠비아","남(M)","0","5","7","0","0","0","0","3"
"잠비아","여(F)","2","1","0","0","0","0","0","0"
"중국","남(M)","1347","13688","3301","684","6","705","7","7605"
"중국","여(F)","1103","14509","5270","808","6","2429","10","6320"
"중앙아프리카공화국","남(M)","0","2","0","0","0","0","0","2"
"중앙아프리카공화국","여(F)","0","0","0","0","0","0","0","1"
"짐바브웨","남(M)","1","1","5","4","0","2","0","0"
"짐바브웨","여(F)","0","0","6","0","0","0","0","0"
"차드","남(M)","0","1","2","0","0","0","0","3"
"차드","여(F)","0","0","0","0","0","0","0","0"
"체코","남(M)","0","0","1","2","0","8","0","4"
"체코","여(F)","0","2","8","0","0","2","0","1"
"칠레","남(M)","0","2","7","1","0","0","0","1"
"칠레","여(F)","1","2","2","0","0","1","0","5"
"카메룬","남(M)","3","12","57","14","0","2","0","67"
"카메룬","여(F)","1","9","28","6","0","1","0","23"
"카자흐스탄","남(M)","3","70","28","0","0","12","1","23"
"카자흐스탄","여(F)","11","48","37","4","0","70","0","53"
"캄보디아","남(M)","1","39","115","11","0","14","0","35"
"캄보디아","여(F)","0","38","45","2","0","12","0","21"
"캐나다","남(M)","0","11","21","4","0","17","0","10"
"캐나다","여(F)","0","3","8","2","0","23","0","7"
"케냐","남(M)","0","28","37","6","0","2","0","11"
"케냐","여(F)","0","12","16","1","0","1","0","7"
"코스타리카","남(M)","0","1","1","0","0","0","0","3"
"코스타리카","여(F)","0","3","3","0","0","2","0","0"
"코트디부아르","남(M)","0","1","4","2","0","0","0","2"
"코트디부아르","여(F)","0","0","0","0","0","0","0","1"
"콜롬비아","남(M)","1","7","9","2","0","1","0","11"
"콜롬비아","여(F)","0","7","5","0","0","2","0","7"
"콩고","남(M)","0","1","1","1","0","0","0","1"
"콩고","여(F)","0","0","1","0","0","0","0","1"
"콩고민주공화국","남(M)","1","12","11","2","0","0","0","8"
"콩고민주공화국","여(F)","0","5","1","0","0","0","0","0"
"쿠바","남(M)","0","0","1","0","0","0","0","0"
"쿠바","여(F)","0","0","0","0","0","0","0","0"
"쿠웨이트","남(M)","0","0","0","1","0","0","0","0"
"쿠웨이트","여(F)","0","0","0","0","0","0","0","0"
"크로아티아","남(M)","0","0","0","0","0","0","0","1"
"크로아티아","여(F)","0","1","1","0","0","1","0","1"
"키르기스스탄","남(M)","2","18","10","1","0","8","0","28"
"키르기스스탄","여(F)","1","13","23","3","1","10","0","32"
"키프로스","남(M)","0","0","1","0","0","0","0","0"
"키프로스","여(F)","0","0","0","0","0","0","0","0"
"타이","남(M)","3","28","36","20","0","3","0","20"
"타이","여(F)","5","56","91","39","3","28","0","92"
"타이완","남(M)","2","11","19","11","0","41","0","24"
"타이완","여(F)","7","30","60","8","3","204","0","182"
"타지키스탄","남(M)","0","14","9","0","0","2","0","14"
"타지키스탄","여(F)","0","5","2","0","0","1","0","5"
"탄자니아","남(M)","2","16","35","12","0","3","0","12"
"탄자니아","여(F)","0","7","11","1","0","0","0","3"
"터키","남(M)","0","25","14","11","0","13","0","21"
"터키","여(F)","1","19","21","3","1","19","0","18"
"토고","남(M)","0","6","5","0","0","0","0","0"
"토고","여(F)","0","0","1","0","0","0","0","0"
"투르크메니스탄","남(M)","0","12","1","0","0","2","0","2"
"투르크메니스탄","여(F)","0","1","1","0","0","0","0","3"
"투발루","남(M)","0","0","1","0","0","0","0","0"
"투발루","여(F)","0","0","0","0","0","0","0","0"
"튀니지","남(M)","2","3","4","3","0","3","0","1"
"튀니지","여(F)","0","3","3","1","0","0","0","2"
"티모르민주공화국","남(M)","3","7","5","1","0","0","0","0"
"티모르민주공화국","여(F)","0","3","1","0","0","0","0","1"
"파나마","남(M)","0","3","2","1","0","1","0","1"
"파나마","여(F)","0","2","1","0","0","0","1","0"
"파라과이","남(M)","0","9","0","0","0","0","0","3"
"파라과이","여(F)","0","10","0","1","0","0","0","3"
"파키스탄","남(M)","23","33","193","294","3","3","2","66"
"파키스탄","여(F)","4","5","30","24","1","0","0","14"
"파푸아뉴기니","남(M)","1","0","1","0","0","0","0","0"
"파푸아뉴기니","여(F)","0","0","0","0","0","0","0","0"
"팔라우","남(M)","0","1","0","0","0","0","0","0"
"팔라우","여(F)","0","0","0","0","0","0","0","0"
"팔레스타인","남(M)","0","0","6","0","0","0","0","0"
"팔레스타인","여(F)","0","1","0","0","0","0","0","0"
"페루","남(M)","0","4","8","0","0","0","0","5"
"페루","여(F)","0","10","5","0","0","3","0","10"
"포르투갈","남(M)","0","0","0","0","1","1","0","1"
"포르투갈","여(F)","0","1","0","0","1","4","0","6"
"폴란드","남(M)","1","5","9","4","0","9","0","4"
"폴란드","여(F)","0","4","9","1","1","14","0","8"
