성별,연령대,국적명,체류자격,학교명
여,1990년대생,베트남,석사유학,부산가톨릭대학교
여,1990년대생,중국,박사유학,부산대학교
남,1980년대생,중국,석사유학,건국대학교
남,1980년대생,중국,석사유학,충북대학교
여,1990년대생,중국,석사유학,국립대학법인 인천대학교
여,1990년대생,베트남,대학부설어학원연수,성산효대학원대학교
남,1980년대생,중국,석사유학,경희대학교국제캠퍼스
남,1980년대생,중국,석사유학,평택대학교
여,1990년대생,중국,학사유학,서울시립대학교
여,1990년대생,중국,석사유학,경희대학교
남,1980년대생,중국,학사유학,한국외국어대학교
남,1980년대생,일본,학사유학,선문대학교
남,1990년대생,콩고민주공화국,학사유학,공주대학교
여,1990년대생,중국,학사유학,제주관광대학
여,1990년대생,르완다,석사유학,영남대학교
여,1990년대생,캐나다,석사유학,(학)연세대학교
남,1990년대생,중국,석사유학,숭실대학교
여,1980년대생,중국,교환학생,숭실대학교
여,1980년대생,온두라스,대학부설어학원연수,동서대학교
남,1990년대생,예멘공화국,학사유학,서강대학교
남,1990년대생,중국,학사유학,동국대학교
남,1990년대생,사우디아라비아,대학부설어학원연수,세종대학교
여,1990년대생,중국,석사유학,중앙대학교
여,1980년대생,중국,학사유학,경성대학교
여,1980년대생,중국,학사유학,영동대학교
여,1980년대생,몽골,대학부설어학원연수,원광보건대학교
여,1980년대생,중국,대학부설어학원연수,한국외국어대학교
남,1990년대생,예멘공화국,석사유학,고려대학교
남,1990년대생,베트남,대학부설어학원연수,나사렛대학교
여,1990년대생,베트남,학사유학,우송대학교
여,1990년대생,이란,석사유학,순천향대학교(학)
여,1980년대생,중국,박사유학,전북대학교
여,1990년대생,중국,석사유학,서울대학교
여,1990년대생,중국,석사유학,동국대학교
여,1990년대생,중국,학사유학,용인송담대학
여,1990년대생,모로코,대학부설어학원연수,한세대학교
여,1990년대생,파키스탄,석사유학,성균관대학교
여,1980년대생,중국,박사유학,국민대학교
여,1980년대생,중국,대학부설어학원연수,서울여자대학교
남,1990년대생,중국,석사유학,동국대학교
여,1990년대생,중국,석사유학,우송대학교
남,1980년대생,베트남,석사유학,포항공과대학교
남,1990년대생,독일,교환학생,서울대학교
남,1990년대생,중국,대학부설어학원연수,을지대학교
남,1990년대생,방글라데시,석사유학,전북대학교
남,1980년대생,베트남,석사유학,경희대학교국제캠퍼스
남,1980년대생,독일,교환학생,한국외국어대학교
남,1980년대생,중국,학사유학,동국대학교
남,1990년대생,방글라데시,박사유학,국립부경대학교
남,1990년대생,방글라데시,석사유학,동의대학교
남,1990년대생,르완다,대학부설어학원연수,전주대학교
남,1990년대생,인도,대학부설어학원연수,강원대학교
여,1980년대생,그리스,석사유학,(학)연세대학교
남,1990년대생,중국,대학부설어학원연수,동서대학교
여,1990년대생,방글라데시,학사유학,전주기전대학
여,1980년대생,방글라데시,석사유학,국립부경대학교
여,1980년대생,러시아(연방),전문학사,영진전문대학
여,1980년대생,중국,석사유학,국민대학교
여,1980년대생,중국,석사유학,세종대학교
여,1980년대생,필리핀,학사유학,충남대학교
여,1980년대생,중국,석사유학,홍익대학교
남,1990년대생,베트남,대학부설어학원연수,성산효대학원대학교
여,1980년대생,중국,석사유학,우석대학교
여,1980년대생,캐나다,석사유학,고려대학교
여,1980년대생,중국,석사유학,국립대학법인 인천대학교
여,1980년대생,중국,대학부설어학원연수,고려대학교
남,1990년대생,중국,학사유학,제주대학교
여,1990년대생,중국,학사유학,군산대학교
여,1990년대생,말레이시아,교환학생,한국외국어대학교
여,1990년대생,미국,석사유학,고려대학교
여,1990년대생,멕시코,학사유학,경희대학교
여,1990년대생,중국,학사유학,국민대학교
