"국적","성별","유학(D-2)","전문학사(D-2-1)","학사유학(D-2-2)","석사유학(D-2-3)","박사유학(D-2-4)","연구유학(D-2-5)","교환학생(D-2-6)","교환학생(D-2-F)","일반연수(D-4)","대학부설어학원연수(D","외국어연수(D-4-7)","기타"
"코소보","(F)","1","0","0","1","0","0","0","0","0","0","0","0"
"유고슬라비아","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"유고슬라비아","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"영국 속령지 시민","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"영국 속령지 시민","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"리히텐슈타인","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"리히텐슈타인","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"산 마 리 노","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"산 마 리 노","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"교황청","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"교황청","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"오스트레일리아","(M)","34","0","3","3","1","0","27","0","23","23","0","6316"
"오스트레일리아","(F)","30","0","1","5","1","1","22","0","14","14","0","6051"
"뉴 질 랜 드","(M)","4","0","1","1","0","0","2","0","3","3","0","2615"
"뉴 질 랜 드","(F)","2","0","0","2","0","0","0","0","4","4","0","1965"
"피      지","(M)","7","0","2","3","2","0","0","0","1","1","0","52"
"피      지","(F)","10","0","1","7","1","0","1","0","0","0","0","36"
"파푸아뉴기니","(M)","7","0","0","7","0","0","0","0","0","0","0","10"
"파푸아뉴기니","(F)","3","0","0","3","0","0","0","0","0","0","0","6"
"마 샬 군 도","(M)","0","0","0","0","0","0","0","0","0","0","0","10"
"마 샬 군 도","(F)","0","0","0","0","0","0","0","0","0","0","0","8"
"솔로몬군도","(M)","2","0","0","2","0","0","0","0","0","0","0","3"
"솔로몬군도","(F)","3","0","0","3","0","0","0","0","0","0","0","5"
